gbifID;ScientificName;year
4035481690;Pleurochaete squarrosa;2021
4035481493;Syntrichia ruralis;2011
4035481405;Syntrichia ruralis;2021
4035481243;Syntrichia ruralis;2021
4035481166;Pleurochaete squarrosa;2021
4035481032;Syntrichia ruralis;2021
4035480982;Homalothecium aureum;2021
4035480723;Syntrichia ruralis;2021
4035480683;Syntrichia ruralis;2022
4035480646;Homalothecium aureum;2021
4035480627;Syntrichia ruralis;2021
4035480624;Syntrichia ruralis;2021
4035480568;Homalothecium aureum;2021
4035480516;Pleurochaete squarrosa;2015
4035480502;Syntrichia ruralis;2010
4035480331;Pleurochaete squarrosa;2021
4029063448;Pleurochaete squarrosa;2021
4028991347;Pleurochaete squarrosa;2023
4021978615;Pleurochaete squarrosa;2023
4018566737;Pleurochaete squarrosa;2022
4018486465;Pleurochaete squarrosa;2006
4018275384;Pleurochaete squarrosa;2020
4018176819;Pleurochaete squarrosa;2023
4015092357;Syntrichia ruralis;2022
4014990866;Pleurochaete squarrosa;2023
4014986694;Pleurochaete squarrosa;2022
4014970751;Pleurochaete squarrosa;2022
4011879677;Pleurochaete squarrosa;2022
4011852980;Pleurochaete squarrosa;2022
4011786666;Pleurochaete squarrosa;2022
4011766023;Pleurochaete squarrosa;2022
4011710159;Pleurochaete squarrosa;2023
4011663274;Pleurochaete squarrosa;2023
4011650622;Pleurochaete squarrosa;2022
4011623854;Pleurochaete squarrosa;2022
4011607628;Pleurochaete squarrosa;2022
4011568903;Pleurochaete squarrosa;2022
4011547799;Pleurochaete squarrosa;2022
4009797654;Pleurochaete squarrosa;2022
4006777797;Pleurochaete squarrosa;2022
4006770132;Pleurochaete squarrosa;2022
4006746846;Pleurochaete squarrosa;2022
4006730075;Pleurochaete squarrosa;2022
4006656851;Pleurochaete squarrosa;2022
4006640824;Pleurochaete squarrosa;2022
4006598130;Pleurochaete squarrosa;2022
4006541985;Pleurochaete squarrosa;2022
4006516242;Pleurochaete squarrosa;2022
3994912457;Syntrichia ruralis;2010
3994912329;Syntrichia ruralis;2004
3994912304;Pleurochaete squarrosa;2015
3994912247;Syntrichia ruralis;2006
3994911929;Syntrichia ruralis;2011
3994911900;Syntrichia ruralis;2010
3994911862;Syntrichia ruralis;1989
3994911793;Syntrichia ruralis;2009
3994911455;Syntrichia ruralis;2003
3994368310;Pleurochaete squarrosa;2022
3994243091;Pleurochaete squarrosa;2022
3994229083;Pleurochaete squarrosa;2022
3994220984;Pleurochaete squarrosa;2022
3994191239;Pleurochaete squarrosa;2022
3994169704;Pleurochaete squarrosa;2022
3994150761;Syntrichia ruralis;2022
3994136242;Pleurochaete squarrosa;2022
3994124102;Pleurochaete squarrosa;2022
3994045692;Pleurochaete squarrosa;2022
3994043132;Pleurochaete squarrosa;2022
3992831611;Pleurochaete squarrosa;
3988807388;Syntrichia ruralis;2022
3988702303;Pleurochaete squarrosa;2022
3988642744;Pleurochaete squarrosa;2022
3988641018;Pleurochaete squarrosa;2022
3988640727;Pleurochaete squarrosa;2022
3988595371;Pleurochaete squarrosa;2011
3988589743;Pleurochaete squarrosa;2022
3988582733;Pleurochaete squarrosa;2022
3988528913;Pleurochaete squarrosa;2022
3988485748;Pleurochaete squarrosa;2022
3988482770;Pleurochaete squarrosa;2022
3988478780;Pleurochaete squarrosa;2022
3988445842;Pleurochaete squarrosa;2022
3988438037;Pleurochaete squarrosa;2022
3987167073;Pleurochaete squarrosa;
3987054794;Pleurochaete squarrosa;
3986319526;Pleurochaete squarrosa;2022
3986166443;Pleurochaete squarrosa;2022
3985961123;Pleurochaete squarrosa;2022
3985959427;Pleurochaete squarrosa;2022
3985955613;Pleurochaete squarrosa;2022
3985932535;Pleurochaete squarrosa;2022
3985924095;Pleurochaete squarrosa;2022
3985916185;Pleurochaete squarrosa;2022
3985878415;Pleurochaete squarrosa;2022
3985871980;Pleurochaete squarrosa;2021
3985848658;Pleurochaete squarrosa;2022
3985813088;Pleurochaete squarrosa;2022
3985805724;Pleurochaete squarrosa;2022
3985790208;Pleurochaete squarrosa;2022
3985667118;Pleurochaete squarrosa;2022
3966635010;Pleurochaete squarrosa;2022
3966533790;Pleurochaete squarrosa;2022
3966489206;Pleurochaete squarrosa;2022
3966468999;Syntrichia ruralis;2022
3966403199;Pleurochaete squarrosa;2022
3966368171;Pleurochaete squarrosa;2022
